﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2341-14_1_0_2,What's wrong here?,ตรงไหนที่ไม่ถูกต้องกันนะ?
M2341-14_1_0_3,The location here is wrong.,ตำแหน่งตรงนี้ผิดเพี้ยน
M2341-14_1_0_4,The bricks and tiles are wrong.,อิฐและกระเบื้องผิดเพี้ยนไปหมด
M2341-14_1_0_5,The decorations are wrong.,การตกแต่งจัดวางก็ไม่เข้าที่
M2341-14_1_0_6,The cabinet is wrong.,ตู้ใบนี้ก็ผิดปกติ
M2341-14_1_0_7,There seems to be traces of murder here.,ดูเหมือนว่าจะมีร่องรอยการฆาตกรรมอยู่ที่นี่
M2341-14_1_0_8,Murder traces? Evidence of a crime? Where? What are they?,ร่องรอยการฆ่า? ร่องรอยคดีฆาตกรรม? อยู่ที่ไหน? มีอะไรบ้าง?
M2341-14_1_0_9,"I don't know, it needs further investigation.",ข้ายังไม่กระจ่าง ต้องตรวจสอบให้แน่ชัด
M2341-14_1_0_10,How did you find out?,เจ้าล่วงรู้ได้อย่างไร?
M2341-14_1_0_11,Intuition.,สัญชาตญาณ
M2341-14_1_0_12,...That seems quite convincing.,…ฟังดูน่าเชื่อถือไม่น้อยเลยทีเดียว
M2341-14_1_1_1,"Your intuition is strong. If you hadn't mentioned it, I would have hardly noticed anything wrong here.",สัญชาตญาณของเจ้าเฉียบคมนัก หากเจ้าไม่กล่าวขึ้นมา ข้าคงแทบไม่ทันสังเกตเห็นความผิดปกติที่นี่เลย
M2341-14_1_1_2,"But once you mentioned it, I paid more attention and found several oddities. It seems that my experience is lacking...",แต่พอเจ้ากล่าวขึ้นมา ข้าก็ลองสังเกตดูให้ดี แล้วพบความผิดปกติหลายจุด ดูท่าแล้ว ประสบการณ์ของข้ายังอ่อนด้อยนัก...
M2341-14_1_1_3,"Firstly, this place is a firewood room, but it's too far from the kitchen. Also, the ventilation layout of this room is prone to dampness, not suitable for storing firewood and grain.",ประการแรก ที่นี่คือโรงเก็บฟืน แต่กลับอยู่ไกลจากโรงครัวเกินไป อีกทั้งโครงสร้างการระบายอากาศของห้องนี้ก็เอื้อต่อความชื้น มิใช่สถานที่ที่เหมาะสมสำหรับเก็บฟืนหรือเสบียงเลย
M2341-14_1_1_4,You know about architectural layout?,เจ้าล่วงรู้แม้แต่การจัดวางผังเรือน?
M2341-14_1_1_5,"That's because my brother took me to a case. The crime scene was dry, and it was a snowy day, the air was extremely cold. So, even days after the crime, the body was well preserved...",นั่นเป็นเพราะพี่ชายเคยพาข้าไปสืบคดีหนึ่ง ที่เกิดเหตุแห้งแล้ง ประกอบกับวันนั้นเป็นวันที่หิมะตกหนัก อากาศหนาวเย็นมาก ดังนั้น แม้เวลาจะผ่านไปหลายวัน พวกเรากลับไปดูอีกครั้ง ศพก็ยังคงสภาพดีอยู่...
M2341-14_1_1_6,"Ahem, there are also many unnecessary decorations on the walls here, and carpets on the floor, all of which are obviously unreasonable.",อะแฮ่ม... อีกทั้งผนังที่นี่ก็เต็มไปด้วยเครื่องประดับที่เกินจำเป็น พื้นยังปูพรมอย่างประณีต ทุกสิ่งล้วนไม่สมเหตุสมผลอย่างชัดเจน
M2341-14_1_1_7,"Finally, there's this cabinet, placed askew, perhaps worth a look.",สุดท้ายก็คือตู้ใบนี้ วางเอียงไปเล็กน้อย ดูท่าแล้วคงต้องตรวจสอบสักหน่อย
M2341-14_1_1_8,You make a good point.,คำพูดของเจ้าสมเหตุสมผล
M2341-14_1_2_1,...It seems that there is no one in my team who is good at this.,…ดูเหมือนว่าในคณะของข้าไม่มีผู้ใดเชี่ยวชาญเรื่องนี้เลย
M2341-14_2_0_1,I am now...,ตอนนี้ข้า...
M2341-14_op2_1,Move the decorations and carpet.,เคลื่อนย้ายเครื่องประดับและพรม
M2341-14_op2_2,Move the cabinet.,เคลื่อนย้ายตู้
M2341-14_op2_3,Run away.,จากไป
M2341-14_2_2_1,Here... is full of traces of fighting and blood.,บริเวณนี้...เต็มไปด้วยคราบเลือดและร่องรอยการต่อสู้
M2341-14_2_2_2,"There are many traces of knife slashes, axe chops, and club hits on the walls.",บนผนังมีร่องรอยของการฟันด้วยมีด การจามด้วยขวาน และการทุบด้วยกระบองอยู่มากมาย
M2341-14_2_2_3,"And there are large patches of blood seeped into the ground. Perhaps because it seeped too deep and couldn't be cleaned, it was covered with a carpet...",ส่วนบนพื้นมีคราบเลือดขนาดใหญ่ซึมลึก อาจเป็นเพราะมันซึมลึกเกินไปจนทำความสะอาดไม่ได้ จึงใช้พรมปูทับไว้...
M2341-14_2_2_4,"At least one thing can be confirmed, there has been a fight or even several fights here, and blood was shed.",อย่างน้อยก็มีสิ่งหนึ่งที่ยืนยันได้ เคยมีการต่อสู้ หรือแม้แต่การประลองหลายครั้งเกิดขึ้นที่นี่ และต้องมีการนองเลือด
M2341-14_2_2_5,"The traces are too messy, it's hard to tell how many people were involved. But it should have happened recently, possibly even last night.",ร่องรอยยุ่งเหยิงเกินไป ยากที่จะบอกว่ามีผู้คนเกี่ยวข้องกี่คน แต่น่าจะเพิ่งเกิดขึ้นเมื่อไม่นาน อาจจะเป็นเมื่อคืนด้วยซ้ำ
M2341-14_2_2_6,But at least one thing can be confirmed...,แต่อย่างน้อยก็มีสิ่งหนึ่งที่ยืนยันได้...
M2341-14_op3_1,Someone died here.,มีคนตายที่นี่
M2341-14_op3_2,The fighters in this battle were all experts.,ผู้ที่ประลองในศึกครั้งนี้ล้วนเป็นยอดฝีมือทั้งสิ้น
M2341-14_op3_3,This cover-up is related to the Penglai Sect.,การปกปิดร่องรอยครั้งนี้เกี่ยวข้องกับสำนักเผิงไหล
M2341-14_2_3_1,"Hmm... It's hard to tell. Fights with bloodshed are quite normal, and judging from the amount of blood on the ground, it's hard to determine if anyone died.",อืม... ยากที่จะบอกได้ การต่อสู้ที่มีเลือดตกยางออกนั้นเป็นเรื่องปกติในยุทธภพ และเมื่อดูจากปริมาณเลือดที่กระเซ็นอยู่บนพื้น ก็ยากที่จะบอกว่ามีใครตายหรือไม่
M2341-14_2_4_1,"Hmm... It's too forced to judge the martial arts style just from the traces on the wall, it's as difficult as judging the moves from a chessboard.",อืม... การจะตัดสินว่าเป็นวรยุทธ์สำนักใดเพียงแค่ดูจากร่องรอยบนกำแพงนั้นเป็นการฝืนเกินไป มันยากเหมือนกับการพยายามอ่านกระบวนท่าจากกระดานหมากที่วางไว้เลยทีเดียว
M2341-14_2_5_1,"This is certain, turning a whole house into a temporary firewood room to cover up the fight here, if it wasn't decided by the Penglai Sect, it couldn't be done.",เป็นที่แน่ชัด การเปลี่ยนเรือนทั้งหลังให้กลายเป็นโรงเก็บฟืนชั่วคราวเพื่อปกปิดร่องรอยการต่อสู้ที่นี่ หากไม่ใช่บัญชาจากสำนักเผิงไหล ก็ไม่มีใครทำได้
M2341-14_2_5_2,"Now the question is, what is the relationship between this fight and the Penglai Sect?",ที่ข้าสงสัยคือ การต่อสู้ที่นี่เกี่ยวพันกับสำนักเผิงไหลอย่างไร?
M2341-14_2_5_3,"The first possibility is that the Penglai Sect was involved in this fight. The second is that this fight has nothing to do with the Penglai Sect, and the Penglai Sect is purely a victim. But in order for the Golden Basin Washing Hands Ceremony to proceed normally, they chose to cover up this matter.",ความเป็นไปได้แรกคือสำนักเผิงไหลมีส่วนเกี่ยวข้องในการต่อสู้ครั้งนี้ ความเป็นไปได้ที่สองคือการต่อสู้ครั้งนี้ไม่มีส่วนเกี่ยวข้องกับสำนักเผิงไหล และสำนักเผิงไหลเป็นเพียงผู้เคราะห์ร้าย แต่เพื่อให้พิธีล้างมือในอ่างทองดำเนินไปได้อย่างราบรื่น พวกเขาจึงเลือกที่จะปกปิดเรื่องนี้ไว้
M2341-14_2_5_4,"The Penglai Sect, seemingly bustling and harmonious... what exactly happened?",สำนักเผิงไหล ภายนอกดูคึกคักและกลมเกลียว... แต่เกิดอะไรขึ้นกันแน่?
M2341-14_2_5_5,"Anyway... To avoid attracting attention, let's put the decorations back in place.",อย่างไรก็ตาม... เพื่อหลีกเลี่ยงการดึงดูดความสนใจ พวกเราจัดเครื่องประดับกลับเข้าที่เดิมเถอะ
M2341-14_3_0_1,"There's a bulge behind this cabinet on the wall, causing the wall to crack and deform, as if something had been smashed from the outside...",ด้านหลังตู้นี้ บนกำแพงมีรอยนูน ทำให้กำแพงแตกร้าวและผิดรูป ราวกับว่ามีบางสิ่งถูกซัดมากระแทกจากด้านนอก...
M2341-14_3_0_2,"The wall is on the verge of damage, with a little more force, I can break a big hole to see what's outside.",กำแพงอยู่ในสภาพเกือบจะพังเสียแล้ว หากใช้แรงอีกสักเล็กน้อย ข้าก็สามารถทำลายให้เป็นช่องใหญ่เพื่อดูว่ามีอะไรอยู่ด้านนอก
M2341-14_3_0_3,"But if I use my internal energy to break the wall, it will inevitably make a loud noise, attracting attention would not be good.",แต่หากข้าใช้พลังภายในทำลายกำแพง ย่อมต้องเกิดเสียงดังอย่างหลีกเลี่ยงไม่ได้ การดึงดูดความสนใจนั้นไม่เป็นผลดีแน่
M2341-14_3_0_4,"I can carefully examine and find the weak points of the wall, infuse my MP into my skill, and slowly tap it to quietly break the wall. But this action is meticulous and consumes a lot of energy...",ข้าสามารถพิจารณาอย่างรอบคอบเพื่อหาจุดอ่อนของกำแพง หลอมรวมพลังภายในเข้ากับวรยุทธ์ แล้วค่อยๆ เคาะมันเพื่อทำลายกำแพงอย่างเงียบๆ แต่การกระทำนี้ต้องพิถีพิถันและสิ้นเปลืองพลังงานมาก...
M2341-14_3_0_5,Should I break this wall?,ข้าควรทำลายกำแพงนี้หรือไม่?
M2341-14_op4_1,Break the wall.<color=#097a76>(Stamina60)</color>,ทำลายกำแพง <color=#097a76>(ใช้แรงกาย 60)</color>
M2341-14_op4_2,Run away for now.,จากไปชั่วคราว
M2341-14_3_1_1,"Just in case, I should move this cabinet back to its original place.",กันไว้ดีกว่าแก้ ข้าว่าเลื่อนตู้ใบนี้กลับที่เดิมไว้ก่อนจะดีกว่า
M2341-14_3_2_1,It's open!,เปิดออกแล้ว!
M2341-14_3_2_2,I should go out and take a look now.,ข้าจะออกไปดูข้างนอกสักหน่อย
M2341-14_3_2_3,Is this... the other side of Penglai Island? There seems to be a faint smell of blood in the air...,ที่นี่...คือที่ไหน? อีกด้านของเกาะเผิงไหล? ในอากาศคล้ายมีกลิ่นคาวเลือดจางๆ...
M2341-14_3_2_4,"To prevent being discovered, I should move the cabinet inside the house back to cover this hole.",เพื่อป้องกันมิให้ผู้ใดล่วงรู้ ข้าจะเลื่อนตู้ในห้องกลับไปปิดบังรูนี้ไว้ก่อน
M2341-15_0_0,"This cabinet is very old, there is nothing on it, it's strange.",ตู้บนี้เก่าจริงๆ ด้านในก็ว่างเปล่า ประหลาดนัก
M2341-15_0_3_1,"Here... according to the relative position, the opposite wall should be a room within the Penglai Sect.",ตรงนี้...ดูจากตำแหน่งแล้ว ฝั่งตรงข้ามกำแพงน่าจะเป็นเรือนของสำนักเผิงไหล
M2341-15_0_3_2,"There was something that once hit the wall of the room, causing a part of the wall to cave in and cracks have appeared.",บนผนังห้อง ปรากฏรอยบุบจากการกระแทก ดูเหมือนว่าเคยมีสิ่งใดกระแทกเข้าอย่างจัง จนผนังยุบเข้าไปส่วนหนึ่ง และเกิดรอยร้าวขึ้นแล้ว
M2341-15_0_3_3,"The wall is on the verge of damage, with a little more force from me, I could break a big hole and crawl into the room to see what's going on.",ผนังนี้ใกล้พังเต็มทีแล้ว ข้าจะเพิ่มแรงอีกหน่อย ก็คงจะเจาะทะลุเป็นรูใหญ่ได้ แล้วเข้าไปดูข้างในว่าเกิดอะไรขึ้น
M2341-15_0_3_4,"But if I use my internal energy to break the wall, it will inevitably make a loud noise, attracting attention would not be good.",แต่หากข้าใช้พลังภายในทำลายกำแพง ย่อมต้องเกิดเสียงดังอย่างหลีกเลี่ยงไม่ได้ การดึงดูดความสนใจนั้นไม่เป็นผลดีแน่
M2341-15_0_3_5,"I can carefully examine and find the weak points of the wall, infuse my MP into my skill, and slowly tap it to quietly break the wall. But this action is meticulous and consumes a lot of energy...",ข้าสามารถพิจารณาอย่างรอบคอบเพื่อหาจุดอ่อนของกำแพง หลอมรวมพลังภายในเข้ากับวรยุทธ์ แล้วค่อยๆ เคาะมันเพื่อทำลายกำแพงอย่างเงียบๆ แต่การกระทำนี้ต้องพิถีพิถันและสิ้นเปลืองพลังงานมาก...
M2341-15_0_3_6,Should I break this wall?,ข้าควรทำลายกำแพงนี้หรือไม่?
M2341-15_op1_1,Break the wall.<color=#097a76>(Stamina60)</color>,ทำลายกำแพง <color=#097a76>(ใช้แรงกาย 60)</color>
M2341-15_op1_2,Run away for now.,จากไปชั่วคราว
M2341-15_0_5_1,It's open!,เปิดออกแล้ว!
M2341-15_0_5_2,"There's a cabinet blocking it, but I can move it from the outside.",มีตู้ขวางอยู่ แต่ข้าสามารถเคลื่อนย้ายมันจากข้างนอกได้
M2341-15_0_5_3,"Luckily I applied my force skillfully, only breaking the wall without touching the cabinet at all. Otherwise, if the cabinet fell, it would inevitably make a loud noise.",โชคดีที่ข้าออกแรงอย่างแม่นยำ คราวนี้จึงทำลายแค่ผนัง ไม่ได้แตะต้องตู้แม้แต่น้อย มิฉะนั้นตู้ล้มลง คงจะเกิดเสียงดังสนั่นแน่
M2341-15_0_5_4,I'll crawl through and take a look.,ข้าจะลอดผ่านไปดู
M2341-15_0_5_5,"You crawl through the hole, just in case, you immediately move the cabinet back to its original position to cover it after you crawl through.",เมื่อเจ้าลอดผ่านรูโหว่ไปแล้ว เพื่อความไม่ประมาท เลยรีบเลื่อนตู้กลับไปปิดบังรูโหว่โดยทันที
M2341-15_0_5_6,This place looks like... a firewood room?,ที่นี่ดูเหมือนจะเป็น... โรงเก็บฟืนกระมัง?
M2341-16_0_0_1,"From the sound, it's a kitchen inside, there are probably one or two people...",จากเสียงที่ได้ยิน ข้างในคงจะเป็นโรงครัว และมีคนอยู่ราวๆ สองคน
M2341-16_0_0_2,"Hmm... As an awkward person with unclear identity like me, it's likely to cause trouble if I go in, I'd better try to go around.",อืม... ด้วยสถานะที่ไม่แน่ชัดของข้า หากเข้าไปในที่แห่งนั้น คงจะไม่ดี ข้าว่าข้าเลี่ยงไปจะดีกว่า
M2341-16_0_1_1,"From the sound, it's a kitchen inside, there are probably one or two people...",จากเสียงที่ได้ยิน ข้างในคงจะเป็นโรงครัว และมีคนอยู่ราวๆ สองคน
M2341-16_0_1_2,"I have the Deputy Steward's Token in my hand now, maybe I can blend in.",ข้ามีตรารองผู้ดูแลติดตัว บางทีอาจจะใช้เป็นใบเบิกทางเข้าไปได้
M2341-16_0_2_1,What are you in charge of?,เจ้าเป็นคนของฝ่ายใด?
M2341-16_0_2_2,This is my Token.,นี่คือตราของข้า
M2341-16_0_2_3,"Finally willing to work? You must have lost everything, right!",ในที่สุดก็ยอมลงมือทำเสียที? คงจะหมดตัวแล้วสินะ!
M2341-16_0_2_4,"(Although this person doesn't recognize the face of the Deputy Steward, his gambling fame is well-known.)",(ถึงแม้คนผู้นี้จะไม่เคยเห็นโฉมหน้าของรองเสนาบดี แต่ชื่อเสียงด้านการพนันของเขากลับเป็นที่เลื่องลือ)
M2341-16_0_2_5,"Someone tried to rig the game, I dealt with them harshly. Now I'm not in the mood to gamble anymore.",มีคนคิดจะเล่นตุกติก ข้าต้องจัดการพวกมันอย่างเด็ดขาด ตอนนี้ข้าหมดอารมณ์จะเล่นแล้ว!
M2341-16_0_2_6,Hmph...,ฮึ่ม...
M2341-16_0_2_7,So where's the stuff you were supposed to bring to the kitchen? Hurry up and pour it into these teas!,ของที่ข้าให้เจ้าส่งไปที่โรงครัวล่ะ? รีบเอามันใส่ลงไปในชาพวกนั้นเดี๋ยวนี้!
M2341-16_0_2_8,"(Who are these teas supposed to be served to, I should...)",(ชาเหล่านี้...คงจะชงไว้ให้ใครสักคน ข้าควรจะ...)
M2341-16_op1_1,Pour in the stuff from the paper bag given by the hunchbacked old man.,เทของในห่อกระดาษที่เฒ่าหลังค่อมให้มาลงไป
M2341-16_op1_2,Pour in a prepared bag of salt.,เทเกลือที่เตรียมไว้ในห่อลงไป
M2341-16_op1_3,Do not pour in.,ไม่เทสิ่งใดลงไป
M2341-16_1_0_1,(Pour into the already brewed tea.),(เทลงไปในน้ำชาที่ต้มไว้แล้ว)
M2341-16_1_0_2,What did you pour in?,เจ้าใส่อะไรลงไป?
M2341-16_1_0_3,You scared me...,เจ้าทำข้าตกใจหมด!
M2341-16_1_0_4,What did you just pour in?,เมื่อครู่เจ้าใส่อะไรลงไป?
M2341-16_1_0_5,"The paper bag given by the hunchbacked old man, did I pour it wrong? This is your fault for not making it clear!",ห่อกระดาษที่ตาแก่หลังค่อมให้มา... ข้าเทผิดไปหรือ? นี่มันเป็นความผิดของเจ้าที่ไม่บอกกล่าวให้กระจ่าง!
M2341-16_1_0_6,……,……
M2341-16_1_0_7,"Alright, take the tea over there.",เอาล่ะ ยกชาไปได้เลย
M2341-16_1_0_8,Where to?,ยกไปไหนล่ะ?
M2341-16_1_0_9,"Take it to the main hall! That birdman really made a mess, they all play dumb when asked...",ยกชาไปที่ห้องโถงใหญ่! ไอ้มนุษย์นกนั่นก่อเรื่องวุ่นวายเสียจริง แต่ละคนถามอะไรไปก็ไม่รู้อะไรสักอย่าง...
M2341-16_1_0_10,"This cook is so fierce... I wonder what his background is... If it weren't for my covert actions, I'd really like to show him who not to mess with.",พ่อครัวผู้นี้ช่างดุร้ายนัก... ไม่รู้ว่ามีภูมิหลังเช่นไร... หากมิใช่ว่าข้าต้องซ่อนตัวอยู่ ข้าคงสั่งสอนให้มันรู้ว่าผู้ใดมิควรหาเรื่องด้วยแล้ว
M2341-16_1_0_11,"If I want to investigate in the kitchen, I must deal with this cook, but I can't kill him, after all, he is from the Penglai Sect, being fierce is not a capital crime...",หากข้าต้องการสืบสวนในครัว จำเป็นต้องจัดการกับพ่อครัวผู้นี้ แต่ก็ไม่อาจฆ่าเขาได้ เพราะเขาเป็นศิษย์ของสำนักเผิงไหล แม้จะดุร้ายไปบ้าง แต่โทษก็มิถึงตาย...
M2341-16_1_0_12,Maybe I should take the tea to the main hall first.,นำชาไปส่งที่ห้องโถงใหญ่ก่อนดีกว่า
M2341-16_1_1_1,"(Huagong Powder, probably meant to harm someone, this Penglai Sect is not clean, I can't just stand by and do nothing.)",(ผงสลายกำลังภายใน คาดว่าคงจะใช้ทำร้ายผู้ใดสักคน สำนักเผิงไหลแห่งนี้ดูไม่ค่อยบริสุทธิ์ ข้าเองก็มิอาจทนดูอยู่เฉยๆได้)
M2341-16_1_1_2,(Pour into the already brewed tea.),(เทผงสลายกำลังภายในลงในน้ำชาที่ชงไว้แล้ว)
M2341-16_1_1_3,What did you pour in?,เจ้าเทสิ่งใดลงไป?
M2341-16_1_1_4,You scared me...,เจ้าทำข้าตกใจหมด!
M2341-16_1_1_5,What did you just pour in?,เมื่อครู่เจ้าใส่อะไรลงไป?
M2341-16_1_1_6,"The paper bag given by the hunchbacked old man, did I pour it wrong? This is your fault for not making it clear!",ห่อกระดาษที่ตาแก่หลังค่อมให้มา... ข้าเทผิดไปหรือ? นี่มันเป็นความผิดของเจ้าที่ไม่บอกกล่าวให้กระจ่าง!
M2341-16_1_1_7,……,……
M2341-16_1_1_8,"Alright, take the tea over there.",เอาล่ะ ยกชาไปได้เลย
M2341-16_1_1_9,Where to?,ยกไปไหนล่ะ?
M2341-16_1_1_10,"Take it to the main hall! That birdman really made a mess, they all play dumb when asked...",ยกชาไปที่ห้องโถงใหญ่! ไอ้มนุษย์นกนั่นก่อเรื่องวุ่นวายเสียจริง แต่ละคนถามอะไรไปก็ไม่รู้อะไรสักอย่าง...
M2341-16_1_1_11,"This cook is so fierce... I wonder what his background is... If it weren't for my covert actions, I'd really like to show him who not to mess with.",พ่อครัวผู้นี้ช่างดุร้ายนัก... ไม่รู้ว่ามีภูมิหลังเช่นไร... หากมิใช่ว่าข้าต้องซ่อนตัวอยู่ ข้าคงสั่งสอนให้มันรู้ว่าผู้ใดมิควรหาเรื่องด้วยแล้ว
M2341-16_1_1_12,"If I want to investigate in the kitchen, I must deal with this cook, but I can't kill him, after all, he is from the Penglai Sect, being fierce is not a capital crime...",หากข้าต้องการสืบสวนในครัว จำเป็นต้องจัดการกับพ่อครัวผู้นี้ แต่ก็ไม่อาจฆ่าเขาได้ เพราะเขาเป็นศิษย์ของสำนักเผิงไหล แม้จะดุร้ายไปบ้าง แต่โทษก็มิถึงตาย...
M2341-16_1_1_13,Maybe I should take the tea to the main hall first.,นำชาไปส่งที่ห้องโถงใหญ่ก่อนดีกว่า
M2341-16_1_2_1,"What's going on, didn't the hunchbacked old man give you the stuff?",เกิดอะไรขึ้น เหตุใดตาแก่หลังค่อมผู้นั้นยังมิได้มอบสิ่งของให้แก่เจ้ากัน?
M2341-16_1_2_2,I never met that hunchbacked old man.,ข้ายังมิได้พบเจอตาแก่หลังค่อมผู้นั้นเลยแม้แต่น้อย
M2341-16_1_2_3,Then what are you doing in here? Get out quickly!,แล้วเจ้าเข้ามาทำอะไร? รีบไสหัวออกไปเดี๋ยวนี้!
M2341-16_1_2_4,Run away from the kitchen. To the back yard kitchen door 2340 69.47dr.,ออกจากครัว มุ่งไปยังประตูครัวด้านหลัง 2340 69.47dr.
M2341-16_1_2_5,"This cook is so fierce... I wonder what his background is... If it weren't for my covert actions, I'd really like to show him who not to mess with.",พ่อครัวผู้นี้ช่างดุร้ายนัก... ไม่รู้ว่ามีภูมิหลังเช่นไร... หากมิใช่ว่าข้าต้องซ่อนตัวอยู่ ข้าคงสั่งสอนให้มันรู้ว่าผู้ใดมิควรหาเรื่องด้วยแล้ว
M2341-16_1_2_6,"If I want to investigate in the kitchen, I must deal with this cook, but I can't kill him, after all, he is from the Penglai Sect, being fierce is not a capital crime...",หากข้าต้องการสืบสวนในครัว จำเป็นต้องจัดการกับพ่อครัวผู้นี้ แต่ก็ไม่อาจฆ่าเขาได้ เพราะเขาเป็นศิษย์ของสำนักเผิงไหล แม้จะดุร้ายไปบ้าง แต่โทษก็มิถึงตาย...
M2341-16_1_3_1,Have you found that hunchbacked old man yet?,เจ้าพบตาแก่หลังค่อมผู้นั้นแล้วหรือยัง?
M2341-16_1_3_2,"If you have, hurry up and put those things in the tea!",ถ้าพบแล้วก็รีบนำสิ่งเหล่านั้นใส่ลงในชาเสีย!
M2341-16_1_3_3,"(Who are these teas supposed to be served to, I should...)",(ชาเหล่านี้คงจะเตรียมไว้ให้ผู้ใดสักคนดื่ม ข้าควร...)
M2341-17_0_1,"Your liver fire is too strong, you should rest for a while.",ธาตุไฟในกายท่านรุนแรงนัก พักผ่อนสักหน่อยเถิด
M2341-17_0_2,"First, let's search you and see what you have on you...",ก่อนอื่น ค้นตัวเจ้าก่อน ดูซิว่ามีสิ่งใดซุกซ่อนอยู่บ้าง...
M2341-17_0_3,(Search carefully.),(ค้นตัวอย่างละเอียดถี่ถ้วน)
M2341-17_0_4,"A large piece of paper, with eight big characters written on it: ""I chased eight thieves to this island.""","กระดาษแผ่นใหญ่แผ่นหนึ่ง มีตัวอักษรขนาดใหญ่แปดตัวเขียนอยู่ว่า: ""ข้าไล่ล่าแปดโจรมาจนถึงเกาะแห่งนี้"""
M2341-17_0_5,"The brush strokes are like dragons and snakes, full of momentum. The characters are upright, and the brush tip is like a sword.",ลายพู่กันดุจมังกรเลื้อยพญางูโลด พลังอำนาจช่างโอฬารยิ่งนัก โครงตัวอักษรตั้งตระหง่าน ปลายพู่กันคมกริบดั่งกระบี่
M2341-17_0_6,"These eight characters should have been carved on a stone tablet, and then copied onto this paper. I can't even tell if these characters were written with a pen or a sword...",ตัวอักษรแปดตัวนี้คงจะสลักอยู่บนแผ่นศิลา แล้วถูกผู้อื่นลอกเลียนลงบนกระดาษแผ่นนี้ ข้าแทบมองไม่ออกว่าตัวอักษรเหล่านี้เขียนด้วยพู่กันหรือด้วยกระบี่...
M2341-17_0_7,I didn't expect this Cook to have such a treasure. I wonder who left it and where the stone tablet is?,ข้ามิคาดคิดว่าพ่อครัวผู้นี้จะมีลายมืออันล้ำค่าเช่นนี้ ไม่ทราบว่าผู้ใดเป็นผู้สร้างสรรค์ทิ้งไว้ และศิลาจารึกนั้นถูกสลักไว้ ณ ที่ใดกัน
M2341-18_0a_1,"This Cook is watching, I can't flip through it...",พ่อครัวผู้นี้เฝ้ามองอยู่ ข้าคงไม่อาจพลิกดูได้โดยสะดวก...
